# --- 🔴 CATEGORY 1: Personal Absolute ---
*rsehole,1
4r5ed,1
4r5es,1
5kank,1
@ssfcker,1
@ssfucker,1
@ssfvcker,1
@sshole,1
a**hat,1
a**hole,1
abeed,1
abo,1
aboe,1
anal pirate,1
animal fucker,1
ar5ehole,1
arian,1
arrse,1
arse gobbler,1
arse hole,1
arse-bandit,1
arse-bandits,1
arse-fucker,1
arse-fuckers,1
arse-hole,1
arse-shagger,1
arseface,1
arsefucker,1
arsehead,1
arsehole,1
arsewipe,1
aryan,1
ashole,1
ass bandit,1
ass eating boiolas,1
ass eating nob jokeys,1
ass fecker,1
ass fucker,1
ass fucking boiolas,1
ass fucking nob jokeys,1
ass hole,1
ass kisser,1
ass licking,1
ass muncher,1
ass-bandit,1
ass-fucker,1
ass-fuckers,1
ass-hat,1
ass-hole,1
assbandit,1
assclown,1
assface,1
assfcker,1
assfkcer,1
assfker,1
assfkr,1
assfuccer,1
assfuck3r,1
assfucker,1
assfuckers,1
assfuckerz,1
assfukah,1
assfukka,1
assfukker,1
assfukkerz,1
assfvck3r,1
assfvcker,1
asshat,1
asshol3,1
asshole,1
asshole fucker,1
assholes,1
asskisser,1
assmunch,1
assmuncher,1
asswhole,1
asswipe,1
azzhole,1
b!tch,1
b*gger,1
b*stard,1
b*tch,1
b*tthead,1
b*ttlicker,1
b1+ch,1
b17ch,1
b1otch,1
b1otchs,1
b1tch,1
b1tch1ng,1
b1tch35,1
b1tch3s,1
b1tchees,1
b1tches,1
b1tchez,1
b1tchin,1
b1tching,1
b1tchs,1
b1tchy,1
b@stard,1
ballbag,1
ballbuster,1
ballhead,1
bassturd,1
bastard,1
bastardardo,1
bastardish,1
bastardo,1
bastards,1
basterd,1
bastid,1
basturd,1
baztad,1
bean queen,1
beaner,1
beaners,1
beeotch,1
bell end,1
bellend,1
beyoch,1
beyotch,1
bi + ch,1
bi+ch,1
biatch,1
biotch,1
biotches,1
biotchez,1
bitchass,1
bitchasses,1
bitcher,1
bitchers,1
bitchfuck,1
bitchhole,1
bitchlike,1
bitchness,1
bitchs,1
bitchslap,1
bitchy ass,1
bizzach,1
blacky,1
blumpkin boy,1
boiolas,1
bollockchops,1
bollocktician,1
bstrd,1
bugger,1
bulldyke,1
bum-bandits,1
bum-driller,1
bunghole,1
buttfucker,1
buttfuckers,1
butthead,1
butthole boy,1
buttlicker,1
bzitch,1
bï¼ tch,1
c*ckhead,1
c*cks*cker,1
c*cksucker,1
c*ntface,1
c*nty,1
c00n,1
c00nies,1
c0ckhead,1
c0cksuccer,1
c0cksucker,1
c0cksuckers,1
c0xux0r,1
cagone,1
camel jockey,1
carpet muncher,1
carpetmuncher,1
carpetmunchers,1
cawk muncher,1
cawkmuncher,1
cawksucker,1
ch1nk,1
chingchong,1
chink,1
chinky,1
cholo,1
closet fuckhead,1
cnnt,1
cnt,1
cnut,1
cobb knobbler,1
cock jockey,1
cock knocker,1
cock licker,1
cock munch,1
cock rider,1
cock smoker,1
cock sucker,1
cock sucking boiolas,1
