Content,Score,Category
thanks much great save,0.11,Green
ty really good lag,0.14,Green
nice everyone your save,0.14,Green
good my match,0.15,Green
gg about my help,0.11,Green
thx about try,0.14,Green
good so solid match,0.11,Green
gl for the work,0.15,Green
thanks much clean carry,0.14,Green
thanks very good try,0.14,Green
nt for nice try,0.11,Green
sry that help,0.11,Green
good very the game,0.15,Green
sry about well save,0.11,Green
mb super nice game,0.11,Green
ty team save,0.15,Green
gl for well work,0.14,Green
nt guys the match,0.11,Green
nt so your match,0.15,Green
nt about solid help,0.11,Green
thanks everyone nice played,0.14,Green
sry so the carry,0.11,Green
ty much my lag,0.14,Green
good very solid save,0.15,Green
nice guys great round,0.15,Green
mb team your work,0.11,Green
ty everyone good work,0.11,Green
good really your help,0.11,Green
gg so well game,0.15,Green
mb about solid played,0.15,Green
wp the game,0.15,Green
gl very good carry,0.14,Green
gl team your game,0.15,Green
sry team clean round,0.11,Green
good really the played,0.14,Green
gg guys clean played,0.11,Green
mb really your round,0.14,Green
good this match,0.14,Green
nt everyone well played,0.11,Green
thanks so nice save,0.11,Green
ty very clean help,0.15,Green
good guys nice game,0.15,Green
thanks for solid help,0.14,Green
good for save,0.15,Green
ty this play,0.15,Green
sry super nice match,0.15,Green
gl about solid played,0.11,Green
sry super clean match,0.15,Green
nice team good help,0.14,Green
nt about my match,0.11,Green
gl so the try,0.11,Green
nice very solid lag,0.15,Green
good about clean work,0.11,Green
good super the round,0.11,Green
thanks team well carry,0.15,Green
good everyone solid work,0.15,Green
gl about the played,0.11,Green
nice super good try,0.15,Green
sry super well match,0.11,Green
nice super clean match,0.15,Green
nice about that save,0.11,Green
sry for that try,0.15,Green
gl team your match,0.14,Green
gg super well carry,0.14,Green
nt team solid save,0.11,Green
thanks team my try,0.11,Green
good much solid try,0.14,Green
nice that round,0.14,Green
mb everyone the lag,0.15,Green
nice so that game,0.15,Green
nice so well lag,0.14,Green
mb really that round,0.15,Green
gl really good round,0.14,Green
ty really that try,0.14,Green
nice so well played,0.14,Green
sry super your game,0.15,Green
sry for your game,0.15,Green
sry team my carry,0.14,Green
good so solid game,0.11,Green
wow very well try,0.15,Green
gl guys good round,0.11,Green
ty guys clean match,0.14,Green
thanks super well round,0.15,Green
mb man,0.14,Green
ty all match,0.15,Green
gl about great work,0.15,Green
gl very solid save,0.14,Green
ty so great match,0.11,Green
gl really nice help,0.14,Green
sry so clean work,0.11,Green
nice much great match,0.11,Green
sry everyone clean try,0.15,Green
ty guys your try,0.11,Green
good about play,0.14,Green
good my play,0.14,Green
wow much good carry,0.14,Green
good everyone your save,0.15,Green
thanks very the work,0.15,Green
nt really great help,0.15,Green
gl for well lag,0.15,Green
nice team the help,0.11,Green
sry super nice save,0.11,Green
sry for well carry,0.11,Green
wow team good work,0.11,Green
sry about good help,0.11,Green
ty very solid carry,0.15,Green
gg really that work,0.14,Green
thanks really that save,0.15,Green
gg guys good work,0.11,Green
thanks super nice carry,0.11,Green
ty very nice save,0.14,Green
good about your match,0.14,Green
wow super well round,0.11,Green
sry very well game,0.15,Green
thanks super well match,0.15,Green
thanks everyone solid work,0.15,Green
wow so your match,0.14,Green
ty much clean lag,0.11,Green
thanks so well carry,0.14,Green
nice bro,0.14,Green
gg so your lag,0.11,Green
nt really that match,0.15,Green
ty so nice help,0.14,Green
wow team clean carry,0.11,Green
gg everyone great try,0.14,Green
gg about my try,0.11,Green
gg for solid round,0.14,Green
gl much clean game,0.11,Green
nt much my help,0.14,Green
wow really clean lag,0.14,Green
good really solid save,0.14,Green
gg so the save,0.11,Green
good team solid help,0.14,Green
wow everyone good work,0.15,Green
nice for clean round,0.15,Green
good really my work,0.11,Green
gg for good save,0.14,Green
good about your try,0.15,Green
thanks very nice carry,0.15,Green
thanks team your carry,0.14,Green
gg really well match,0.15,Green
thx that match,0.15,Green
gg really solid try,0.14,Green
good guys your try,0.11,Green
nt team that played,0.15,Green
gg everyone my lag,0.14,Green
nt guys great played,0.11,Green
mb very nice save,0.11,Green
good everyone great work,0.14,Green
nt everyone that round,0.11,Green
nice you save,0.15,Green
sry everyone that carry,0.15,Green
thanks really well help,0.11,Green
ty much nice played,0.11,Green
sry very nice lag,0.11,Green
gl very good save,0.11,Green
nt team nice played,0.14,Green
gl much the work,0.11,Green
nice team my match,0.11,Green
nt guys solid match,0.11,Green
nt super nice save,0.11,Green
nt everyone clean work,0.11,Green
sry really great game,0.15,Green
gl super your work,0.11,Green
mb very the round,0.14,Green
thanks much my help,0.11,Green
wow much solid save,0.15,Green
sry super good save,0.14,Green
wow everyone good carry,0.14,Green
wow everyone nice round,0.15,Green
gl guys great match,0.14,Green
mb team carry,0.14,Green
ty team great carry,0.11,Green
wow so well match,0.11,Green
sry very nice help,0.15,Green
mb guys great match,0.15,Green
nt so nice carry,0.14,Green
good really the lag,0.15,Green
mb super nice played,0.14,Green
sry for great try,0.14,Green
wp for play,0.14,Green
sry our bad,0.14,Green
good guys the work,0.11,Green
sry guys clean lag,0.14,Green
nt for well carry,0.14,Green
thanks for my carry,0.15,Green
sry guys good game,0.14,Green
gg everyone nice game,0.15,Green
wow guys my round,0.14,Green
gg for match,0.14,Green
thanks for my work,0.15,Green
ty team good try,0.14,Green
thanks very your round,0.15,Green
thanks super my match,0.11,Green
wow team that lag,0.15,Green
gl really solid lag,0.14,Green
sry much good played,0.11,Green
nice about the lag,0.11,Green
ty about nice save,0.15,Green
sry team the round,0.15,Green
nice about nice played,0.15,Green
nt guys solid lag,0.15,Green
sry really great lag,0.15,Green
gg very clean game,0.14,Green
mb super good carry,0.15,Green
wow super your round,0.15,Green
thanks for solid carry,0.14,Green
gg everyone clean work,0.14,Green
wow so clean help,0.14,Green
wow very solid game,0.14,Green
mb guys that played,0.11,Green
wow really my carry,0.11,Green
sry much good try,0.15,Green
wow team clean work,0.15,Green
mb about clean game,0.14,Green
thanks about my work,0.15,Green
nt guys clean game,0.15,Green
thanks really great round,0.11,Green
ty really your round,0.15,Green
wow guys your game,0.15,Green
mb this save,0.15,Green
thanks for well round,0.11,Green
gl guys solid save,0.15,Green
nice so my work,0.14,Green
good about that try,0.11,Green
thanks so great work,0.11,Green
sry for my work,0.14,Green
sry for nice match,0.14,Green
nice so clean work,0.14,Green
nt really nice lag,0.11,Green
gl so the match,0.11,Green
nt very the save,0.11,Green
gl very well try,0.11,Green
thanks very that round,0.14,Green
gl super your save,0.15,Green
gg so clean carry,0.15,Green
gl so nice played,0.15,Green
mb you match,0.14,Green
ty about your lag,0.11,Green
nt so that game,0.14,Green
thanks much clean round,0.14,Green
gg team that match,0.15,Green
ty about great game,0.14,Green
thanks super clean lag,0.15,Green
gl so solid game,0.11,Green
ty so well game,0.15,Green
wow about your lag,0.14,Green
ty for nice lag,0.11,Green
nt much nice played,0.14,Green
gg about good try,0.15,Green
nt for play,0.15,Green
good very solid try,0.11,Green
thanks for your game,0.14,Green
nice so well round,0.14,Green
sry very well try,0.15,Green
mb for my round,0.15,Green
nt everyone clean save,0.14,Green
mb very great played,0.14,Green
nice really that game,0.15,Green
nt super that save,0.14,Green
nt that game,0.11,Green
good guys your lag,0.14,Green
thanks so that try,0.14,Green
sry really well carry,0.15,Green
gl so well lag,0.15,Green
nice team the save,0.11,Green
gl everyone your match,0.15,Green
sry guys the round,0.15,Green
ty much well work,0.14,Green
ty much that round,0.11,Green
nt much good work,0.11,Green
nt for solid help,0.15,Green
ty team carry,0.15,Green
ty the help,0.15,Green
mb much good try,0.14,Green
gg so well carry,0.15,Green
nice really well save,0.14,Green
mb so solid carry,0.15,Green
ty so well work,0.15,Green
mb very that match,0.15,Green
gg very well lag,0.15,Green
gg for the save,0.14,Green
gl team clean carry,0.14,Green
good very your game,0.14,Green
thanks super the save,0.15,Green
thanks guys well game,0.11,Green
gg about the try,0.11,Green
wow everyone that match,0.14,Green
ty really that round,0.15,Green
nt my bad,0.15,Green
good about my played,0.15,Green
wow so solid save,0.15,Green
nt much clean save,0.14,Green
mb everyone nice carry,0.15,Green
nt very great match,0.11,Green
nt so well work,0.15,Green
thanks much my game,0.11,Green
wow very nice match,0.15,Green
gg very great save,0.11,Green
good team your work,0.14,Green
wow much clean match,0.11,Green
nt for good round,0.11,Green
nt the lag,0.15,Green
ty everyone the round,0.15,Green
gl very that try,0.15,Green
gl the carry,0.15,Green
good the bad,0.11,Green
gg very well save,0.11,Green
gl about the try,0.14,Green
nt guys the round,0.14,Green
sry everyone my help,0.14,Green
good much that game,0.11,Green
gg my game,0.11,Green
nt so good help,0.15,Green
nice really the round,0.14,Green
nice about your round,0.14,Green
ty for lag,0.11,Green
good team the help,0.15,Green
wow much well lag,0.11,Green
good everyone my carry,0.14,Green
good about the played,0.14,Green
ty guys good round,0.11,Green
mb super nice match,0.15,Green
thanks much your lag,0.15,Green
mb everyone the help,0.15,Green
thanks really great work,0.11,Green
gg so the match,0.14,Green
good everyone the save,0.14,Green
ty everyone the match,0.14,Green
sry for great work,0.14,Green
wow so good lag,0.15,Green
sry for nice played,0.11,Green
thanks everyone solid lag,0.11,Green
sry guys the lag,0.11,Green
nice very your played,0.14,Green
good for solid played,0.11,Green
sry for your lag,0.11,Green
gg for your round,0.15,Green
nice this help,0.15,Green
thanks much good lag,0.11,Green
wow guys clean played,0.11,Green
thanks about nice try,0.15,Green
mb about great round,0.14,Green
sry everyone nice save,0.11,Green
good so your match,0.11,Green
nt all match,0.14,Green
nice super great help,0.15,Green
sry everyone well match,0.11,Green
thanks so good game,0.15,Green
gl super that save,0.15,Green
gg guys the save,0.14,Green
good team my round,0.11,Green
gl very clean played,0.15,Green
mb so great match,0.14,Green
gg team lag,0.14,Green
wow team that work,0.14,Green
wow really that work,0.11,Green
ty much that help,0.11,Green
nice really nice played,0.15,Green
mb guys your carry,0.14,Green
nt so well try,0.11,Green
sry very great played,0.14,Green
ty guys clean carry,0.15,Green
gl really well lag,0.14,Green
thanks so solid help,0.11,Green
mb team my work,0.11,Green
wow super that work,0.14,Green
thanks for great carry,0.11,Green
nice team good lag,0.11,Green
wp team play,0.11,Green
gg super that game,0.11,Green
nt team my help,0.11,Green
gg team solid carry,0.11,Green
sry guys well try,0.11,Green
wp this match,0.15,Green
nice team solid carry,0.15,Green
nice about nice carry,0.14,Green
nice team your help,0.11,Green
nt about good game,0.11,Green
good so great played,0.15,Green
good much great work,0.15,Green
nice about well help,0.14,Green
nt you lag,0.11,Green
gl team good match,0.15,Green
ty team my round,0.15,Green
nice team clean played,0.11,Green
gg about my save,0.14,Green
sry everyone nice match,0.15,Green
sry team,0.11,Green
nice really solid help,0.11,Green
gg very the try,0.14,Green
wow everyone nice carry,0.15,Green
wow really the work,0.14,Green
mb team your game,0.11,Green
gg team your work,0.11,Green
good guys solid played,0.15,Green
good super my try,0.11,Green
mb about the carry,0.15,Green
wow everyone solid help,0.14,Green
nt so nice round,0.15,Green
gg team that save,0.11,Green
good guys that save,0.11,Green
mb team great played,0.11,Green
nice this save,0.11,Green
gl about nice lag,0.11,Green
gg really nice match,0.11,Green
nt all game,0.14,Green
thx the round,0.11,Green
nt guys well carry,0.14,Green
sry super my try,0.14,Green
ty really great round,0.14,Green
gg everyone your played,0.11,Green
nt very the played,0.15,Green
nice team well game,0.15,Green
gg for solid save,0.14,Green
ty so clean played,0.14,Green
gg guys great carry,0.15,Green
good really clean work,0.14,Green
nt you round,0.14,Green
nice much clean work,0.11,Green
thanks super nice round,0.11,Green
ty super the played,0.11,Green
thanks really great lag,0.11,Green
thanks guys great work,0.11,Green
gg very the help,0.14,Green
gg about solid lag,0.11,Green
nt so my help,0.15,Green
thanks super clean round,0.14,Green
mb super solid work,0.15,Green
nt so your help,0.11,Green
nice so clean game,0.15,Green
nice for well round,0.11,Green
nice that play,0.14,Green
gl everyone great match,0.15,Green
ty everyone well carry,0.14,Green
sry much good round,0.14,Green
ty team your save,0.11,Green
gl everyone great save,0.14,Green
good that round,0.14,Green
nice really clean try,0.11,Green
thanks for the help,0.14,Green
ty our game,0.14,Green
gl everyone clean match,0.11,Green
gg very my help,0.15,Green
nice team your try,0.11,Green
gl so the work,0.15,Green
gl about well game,0.15,Green
gg team great round,0.14,Green
sry that play,0.15,Green
ty about bad,0.11,Green
wp that bad,0.15,Green
mb very good round,0.11,Green
thx team round,0.11,Green
gl very that round,0.15,Green
gg super my match,0.14,Green
gl very clean match,0.11,Green
gl much the played,0.14,Green
sry much well lag,0.15,Green
mb guys your try,0.14,Green
thanks about that work,0.11,Green
nice for help,0.11,Green
mb really the lag,0.15,Green
good for that help,0.14,Green
nice very the carry,0.14,Green
wp my round,0.11,Green
gg very your match,0.11,Green
gg everyone good lag,0.15,Green
wow team the try,0.15,Green
wow about solid help,0.15,Green
nt our match,0.15,Green
wow very well carry,0.11,Green
gl super my match,0.11,Green
gl for clean played,0.15,Green
thanks super nice lag,0.14,Green
nt super well game,0.11,Green
gg really the played,0.15,Green
ty so solid played,0.11,Green
nice very my played,0.14,Green
nice team your work,0.15,Green
thanks team nice game,0.11,Green
mb so well round,0.14,Green
good everyone good lag,0.15,Green
sry really that played,0.14,Green
nice everyone clean carry,0.14,Green
good really great carry,0.15,Green
mb much nice carry,0.15,Green
ty really clean work,0.15,Green
mb team solid played,0.15,Green
gg for that save,0.14,Green
gg guys that help,0.11,Green
mb for the carry,0.15,Green
good very great try,0.15,Green
good so good work,0.11,Green
nice guys my work,0.15,Green
nt for my match,0.15,Green
good guys your played,0.14,Green
